"","pred1","obs1","res1"
"1",4.83765965379363,10.3,5.46234034620637
"2",4.55385163347525,10.3,5.74614836652475
"3",4.81698126558939,10.2,5.38301873441061
"4",15.8741152289214,16.4,0.525884771078551
"5",19.8690084377273,18.8,-1.06900843772726
"6",21.0183269565184,19.7,-1.31832695651842
"7",16.192688074962,15.6,-0.592688074961996
"8",19.2459491831643,18.2,-1.04594918316431
"9",21.4130214046896,22.6,1.18697859531044
"10",20.1875812837678,19.9,-0.287581283767809
"11",22.0154022710484,24.2,2.18459772895163
"12",21.468464618616,21,-0.468464618616017
"13",21.468464618616,21.4,-0.0684646186160179
"14",20.5061541298084,21.3,0.793845870191647
"15",23.9541096861818,19.1,-4.85410968618182
"16",27.8522029046529,22.2,-5.65220290465288
"17",31.5839664813446,33.8,2.2160335186554
"18",33.8064819167963,27.4,-6.40648191679631
"19",30.6009776043328,25.7,-4.90097760433278
"20",28.6970350149216,24.9,-3.79703501492163
"21",34.3881843949509,34.5,0.111815605049051
"22",36.0083189640439,31.7,-4.30831896404385
"23",35.3852597094809,36.3,0.9147402905191
"24",41.7689979955178,38.3,-3.46899799551776
"25",44.8777023176465,42.6,-2.27770231764652
"26",50.9428677576428,55.4,4.45713224235715
"27",52.223751092491,55.7,3.47624890750896
"28",53.4285128252086,58.3,4.87148717479136
"29",53.8993288755104,51.5,-2.3993288755104
"30",53.8993288755104,51,-2.8993288755104
"31",68.5153048230688,77,8.48469517693116
